role.get,Получить роль,Отримати роль,Роли,Pолі,1
role.list,Список ролей,Список ролей,Роли,Pолі,1
role.create,Создать роль,Створити роль,Роли,Pолі,1
role.edit,Редактировать роль,Редагувати роль,Роли,Pолі,1
role.delete,Удалить роль,Видалити роль,Роли,Pолі,1
permission.list,Список разрешений,Список дозволів,Разрешения,Дозволи,2
permission.attach,Присвоение разрешений,Присвоєння дозволів,Разрешения,Дозволи,2
admin.create,Создание администратора,Створення адміністратора,Администраторы,Адміністратори,3
admin.edit,Редактирование администратора,Редагування адміністратора,Администраторы,Адміністратори,3
admin.delete,Удаление администратора,Видалити адміністратора,Администраторы,Адміністратори,3
admin.restore,Восстановить администратора,Відновити адміністратора,Администраторы,Адміністратори,3
admin.get,Просмотреть администратора,Переглянути адміністратора,Администраторы,Адміністратори,3
admin.list,Просмотреть всех администраторов,Переглянути всіх адміністраторів,Администраторы,Адміністратори,3
admin.change_status,Изменить статус админа,Змінити статус адміна,Администраторы,Адміністратори,3
admin.generate_password,Генерация пароля,Генерація пароля,Администраторы,Адміністратори,3
user.get,Просмотр пользователя,Перегляд користувача,Пользователи,Користувачі,4
user.list,Список пользователи,Список користувачі,Пользователи,Користувачі,4
user.moderation,Модерация пользователя,Модерація користувача,Пользователи,Користувачі,4
user.edit,Редактирование пользователя,Редагування користувача,Пользователи,Користувачі,4
user.delete,Удаление пользователя,Видалення користувача,Пользователи,Користувачі,4
user.restore,Восстановить пользователя,Відновити користувача,Пользователи,Користувачі,4
user.car.list,Список авто пользователей,Список авто користувачів,Авто пользователей,Авто користувачів,5
user.car.get,Просмотр авто пользователя,Перегляд авто користувача,Авто пользователей,Авто користувачів,5
user.car.moderate,Модерация авто,Модерація авто,Авто пользователей,Авто користувачів,5
user.car.restore,Вернуть авто из архива,Повернути авто з архіву,Авто пользователей,Авто користувачів,5
user.car.edit,Редактирование авто пользователя,Редагування авто користувача,Авто пользователей,Авто користувачів,5
user.car.delete,Удаление авто пользователя,Видалиння авто користувача,Авто пользователей,Авто користувачів,5
catalog.city.edit,Редактирование города,Редагування міста,Каталоги,Каталоги,6
catalog.region.edit,Редактирование области,Редагування області,Каталоги,Каталоги,6
catalog.brand.edit,Редактирование бренда,Редагування бренда,Каталоги,Каталоги,6
catalog.model.edit,Редактирование модели,Редагування модели,Каталоги,Каталоги,6
catalog.service.create,Создание сервиса,Створення сервісу,Каталоги,Каталоги,6
catalog.service.edit,Редактирование сервиса,Редагування сервісу,Каталоги,Каталоги,6
catalog.other.edit,Редактирование списков для заявок,Редагування списків для заявок,Каталоги,Каталоги,6
dealership.create,Создание дц,Створення дц,Дилерский центр,Дилерський центр,7
dealership.edit,Редактирование дц,Редагування дц,Дилерский центр,Дилерський центр,7
archive.car.list,Список авто пользователей,Список авто користувачів,Архив,Архів,8
archive.admin.list,Список администраторов,Список адміністраторів,Архив,Архів,8
archive.user.list,Список пользователей,Список користувачів,Архив,Архів,8
archive.order.list,Список заявок,Список заявок,Архив,Архів,8
order.list,Список заявок,Список заявок,Заявки,Заявки,9
order.get,Просмотр заявки,Перегляд заявки,Заявки,Заявки,9
order.edit,Редактирование заявки,Редагування заявки,Заявки,Заявки,9
order.delete,Удаление заявки,Видалиння заявки,Заявки,Заявки,9
order.restore,Восстановить заявку,Відновити заявку,Заявки,Заявки,9
order.can.see,Право видеть все заявки,Право бачити всі заявки,Заявки,Заявки,9
page.edit,Редактирование страниц,Редагування сторінок,Страницы,Сторінки,10
support.category.create,Создание категорий вопросов,Створення категорій питань,Тех. поддержка,Тех. підтримка,11
support.category.edit,Редактирование категорий вопросов,Редагування категорій питань,Тех. поддержка,Тех. підтримка,11
support.message.list,Просмотр сообщений,Перегляд повідомлень,Тех. поддержка,Тех. підтримка,11
support.message.get,Просмотр сообщения,Перегляд повідомленя,Тех. поддержка,Тех. підтримка,11
support.message.edit,Редактирование сообщения,Редагування повідомленя,Тех. поддержка,Тех. підтримка,11
support.message.delete,Удаление сообщения,Видалиння повідомленя,Тех. поддержка,Тех. підтримка,11
calc.catalog.create,Cоздание каталогов для калькуляторов,Створення каталогів для калькуляторів,Калькулятор,Калькулятор,12
calc.catalog.edit,Редактирование каталогов для калькуляторов,Редагування каталогів для калькуляторів,Калькулятор,Калькулятор,12
calc.catalog.delete,Удаление каталогов для калькуляторов,Видалення каталогів для калькуляторів,Калькулятор,Калькулятор,12
calc.catalog.upload.spares,Загрузка запчастей,Завантаження запчастин,Калькулятор,Калькулятор,12
promotion.create,Создать акцию,Створити акцію,Акции,Акції,13
promotion.edit,Редактирование акции,Редагування акції,Акции,Акції,13
promotion.delete,Удаление акции,Видалення акції,Акции,Акції,13
promotion.list,Просмотр акций,Перегляд акцій,Акции,Акції,13
loyalty.list,Просмотр программ лояльностей,Перегляд програм лояльності,Программа лояльности,Програма лояльності,14
loyalty.get,Просмотр программы лояльности,Перегляд програми лояльності,Программа лояльности,Програма лояльності,14
loyalty.create,Создание программы лояльности,Створення програми лояльності,Программа лояльности,Програма лояльності,14
loyalty.edit,Редактирование программы лояльности,Редагування програми лояльності,Программа лояльности,Програма лояльності,14
car-order-status.edit,Редактирование статусов авто в заказе,Редагування статусів авто в замовленні,Авто в заказе,Авто в замовленні,15
car-order-status.edit-state,Редактирование состояния статуса авто в заказе,Редагування стану статусу авто в замовленні,Авто в заказе,Авто в замовленні,15
