"name"	"diameter"	"weight"	"proporcionality"
"315/80 R22,5"	22,5	315	80
"315/70 R22,5"	22,5	315	70
"295/60 R22,5"	22,5	295	60
"295/80 R22,5"	22,5	295	80
"275/70 R22,5"	22,5	275	70
"315/60 R22,5"	22,5	315	60
"12 R22,5"	22,5	12	0
"10 R22,5"	22,5	10	0
"11 R22,5"	22,5	11	0
"425/65 R22,5"	22,5	425	65
"385/65 R22,5"	22,5	385	65
"445/65 R22,5"	22,5	445	65
"13 R22,5"	22,5	13	0
"305/70 R22,5"	22,5	305	70
"375/90 R22,5"	22,5	375	90
"385/55 R22,5"	22,5	385	55
"255/70 R22,5"	22,5	255	70
"445/65 R22,5"	22,5	445	65
"495/45 R22,5"	22,5	495	45
"9 R22,5"	22,5	9	0
"435/50 R22,5"	22,5	435	50
"295/75 R22,5"	22,5	295	75
"355/50 R22,5"	22,5	355	50
"425/55 R22,5"	22,5	425	55
"305/60 R22,5"	22,5	305	60
"275/80 R22,5"	22,5	275	80
"285/60 R22,5"	22,5	285	60
"455/40 R22,5"	22,5	455	40
"325/95 R24"	24	325	95
"385/80 R22,5"	22,5	385	80
"215/75 R17,5"	17,5	215	75
"235/75 R17,5"	17,5	235	75
"245/70 R17,5"	17,5	245	70
"205/75 R17,5"	17,5	205	75
"205/65 R17,5"	17,5	205	65
"265/70 R17,5"	17,5	265	70
"225/75 R17,5"	17,5	225	75
"10 R17,5"	17,5	10	0
"205/65 R17,5"	17,5	205	65
"9.5 R17,5"	17,5	9,5	0
"8.5 R17,5"	17,5	8,5	0
"8 R17,5"	17,5	8,5	0
"285/70 R19,5"	19,5	285	70
"245/70 R19,5"	19,5	245	70
"385/55 R19,5"	19,5	385	55
"435/50 R19,5"	19,5	435	50
"265/70 R19,5"	19,5	265	70
"305/70 R19,5"	19,5	305	70
"445/65 R19,5"	19,5	445	65
"445/45 R19,5"	19,5	445	45
"425/55 R19,5"	19,5	425	55
"385/65 R19,5"	19,5	385	65
"9.00 R20"	20	9	0
"10.00 R20"	20	10	0
"11.00 R20"	20	11	0
"12.00 R20"	20	12	0
"13.00 R20"	20	13	0
"365/80 R20"	20	365	80
"400/80 R24"	24	400	80
"395/85 R20"	20	395	85
"12.00 R24"	24	12	0
